frame_number,cpu_time_ms,ppu_time_ms,ppu_oam_scan_time_ms,ppu_draw_pixels_time_ms,ppu_hblank_time_ms,ppu_vblank_time_ms,mmio_time_ms,lcd_time_ms,sdl_events_time_ms,debugger_time_ms,interrupt_time_ms,other_time_ms,total_frame_time_ms
62,1.6597,0.2581,1.4117,19.3321,2.5594,0.8809,0.2692,0.0000,0.0146,0.2301,0.2018,0.0000,26.8177
63,1.4897,0.2433,1.3099,17.4927,2.3642,0.7152,0.2572,0.0000,0.0131,0.2251,0.2001,0.0000,24.3106
64,1.2433,0.2161,1.0660,14.1033,1.9352,0.6427,0.2232,0.0000,0.0131,0.2028,0.1812,0.0000,19.8270
65,1.4172,0.2257,1.2512,16.8073,2.2780,0.8227,0.2400,0.0000,0.0204,0.2178,0.1863,0.0000,23.4668
66,1.7821,0.2711,1.4776,20.1113,2.7067,1.1009,0.2805,0.0000,0.0275,0.2641,0.2086,0.0000,28.2309
67,1.6315,0.2599,1.3781,18.6628,2.5077,0.7746,0.2708,0.0000,0.0339,0.2288,0.2037,0.0000,25.9520
68,1.3318,0.2153,1.1260,14.5699,2.0324,0.9192,0.2302,0.0000,0.1041,0.2022,0.1820,0.0000,20.9132
69,1.6431,0.2545,1.4189,19.1559,2.5549,1.0821,0.2694,0.0000,0.1640,0.2327,0.2137,0.0000,26.9894
70,1.6882,0.2685,1.4587,19.4221,2.6397,0.7725,0.2962,0.0000,0.0277,0.2480,0.2241,0.0000,27.0457
71,1.0710,0.1990,0.9370,11.9858,1.7357,0.5328,0.2053,0.0000,0.0237,0.1963,0.1781,0.0000,17.0651
72,1.6392,0.2482,1.3994,19.1312,2.5588,0.7678,0.2634,0.0000,0.0682,0.2277,0.2012,0.0000,26.5054
73,1.7341,0.2681,1.4808,20.1843,2.7266,1.6790,0.2897,0.0000,0.0864,0.2535,0.2175,0.0000,28.9203
74,1.4427,0.2356,1.2299,15.5955,2.1699,1.1920,0.2458,0.0000,0.0266,0.2214,0.1993,0.0000,22.5589
75,1.2735,0.2113,1.1147,14.6603,2.0329,0.7210,0.2216,0.0000,0.0635,0.1989,0.1879,0.0000,20.6858
76,1.6191,0.2632,1.4013,18.6466,2.5487,1.1163,0.2735,0.0000,0.0247,0.2422,0.2162,0.0000,26.3520
77,1.5665,0.2562,1.3479,18.1021,2.4455,0.7472,0.2692,0.0000,0.0129,0.2422,0.2105,0.0000,25.2006
78,1.0694,0.2034,0.9720,12.2598,1.7446,0.5442,0.2147,0.0000,0.0136,0.1957,0.1807,0.0000,17.3984
79,1.4586,0.2356,1.3127,17.4707,2.3885,0.6635,0.2493,0.0000,0.0218,0.2170,0.1931,0.0000,24.2108
80,1.5954,0.2585,1.3702,18.3813,2.4977,1.0490,0.2647,0.0000,0.0220,0.2344,0.2052,0.0000,25.8787
81,1.3009,0.2163,1.0488,13.8050,1.9310,0.7880,0.2457,0.0000,0.0119,0.2064,0.1925,0.0000,19.7467
82,1.6281,0.2611,1.5096,19.9646,2.9038,0.8968,0.2788,0.0000,0.0213,0.2287,0.2071,0.0000,27.9001
83,1.6169,0.2478,1.3831,18.1223,2.4974,0.8727,0.2607,0.0000,0.0300,0.2292,0.2040,0.0000,25.4643
84,1.4141,0.2637,1.1729,15.8035,2.4884,0.7361,0.2407,0.0000,0.0259,0.2222,0.1974,0.0000,22.5650
85,1.4372,0.2484,1.2788,17.4457,2.4041,0.8511,0.2416,0.0000,0.0719,0.2122,0.1977,0.0000,24.3890
86,1.8316,0.2787,1.6345,21.4285,2.9224,1.3268,0.2907,0.0000,0.0479,0.2654,0.2160,0.0000,30.2426
87,1.5487,0.2512,1.3216,18.1591,2.5007,0.8245,0.2585,0.0000,0.0344,0.2264,0.2086,0.0000,25.3338
88,1.2728,0.2167,1.1198,14.7922,2.0277,0.6252,0.2278,0.0000,0.0323,0.2038,0.1842,0.0000,20.7025
89,1.6142,0.2599,1.4755,20.0406,2.5931,1.0651,0.2680,0.0000,0.0726,0.2562,0.2055,0.0000,27.8507
90,1.4266,0.2311,1.1567,15.6644,2.1402,0.8378,0.2475,0.0000,0.0270,0.2185,0.1930,0.0000,22.1429
91,1.4820,0.2295,1.2267,16.2528,2.2826,0.6657,0.2444,0.0000,0.0421,0.2115,0.1963,0.0000,22.8337
92,1.9980,0.2766,1.5299,20.6461,2.9739,1.0357,0.3152,0.0000,0.0174,0.2800,0.2215,0.0000,29.2945
93,1.7515,0.2779,1.5013,20.3096,2.7070,0.8942,0.2887,0.0000,0.0175,0.2492,0.2286,0.0000,28.2256
94,1.7347,0.2705,1.4801,20.3309,2.6537,1.1034,0.2798,0.0000,0.0209,0.2411,0.2104,0.0000,28.3259
95,1.5717,0.2537,1.3859,18.1533,2.4965,1.0050,0.2771,0.0000,0.0172,0.2308,0.2051,0.0000,25.5964
96,1.4819,0.2445,1.2589,17.0878,2.2907,0.8539,0.2624,0.0000,0.0198,0.2295,0.2057,0.0000,23.9352
97,2.3440,0.3078,1.4600,20.1932,2.7168,0.7240,0.2862,0.0000,0.0178,0.2353,0.3359,0.0000,28.6212
98,1.7462,0.2741,1.5123,20.3079,2.7139,0.7662,0.2997,0.0000,0.0145,0.2410,0.2125,0.0000,28.0884
99,1.6413,0.2639,1.4085,19.0025,2.5787,0.7861,0.2716,0.0000,0.0292,0.2351,0.2066,0.0000,26.4236
100,1.0230,0.1908,0.8946,11.4318,1.6705,0.4961,0.1965,0.0000,0.0276,0.1889,0.1706,0.0000,16.2905
101,1.4662,0.2252,1.2355,15.9971,2.2214,0.5567,0.2319,0.0000,0.0362,0.2038,0.1862,0.0000,22.3603
102,1.6287,0.2553,1.3998,18.8356,2.5359,0.7374,0.2647,0.0000,0.0513,0.2339,0.2049,0.0000,26.1477
103,1.3175,0.2261,1.1438,14.7833,2.0330,0.6757,0.2658,0.0000,0.0272,0.2147,0.1984,0.0000,20.8856
104,1.2270,0.2081,1.0772,13.8456,1.9361,0.8044,0.2179,0.0000,0.0641,0.2229,0.1787,0.0000,19.7822
105,1.5792,0.2477,1.3951,18.5170,2.5162,0.8902,0.2620,0.0000,0.0650,0.2272,0.2034,0.0000,25.9031
106,1.6417,0.2690,1.4763,19.3119,2.6475,0.7450,0.2807,0.0000,0.0141,0.2464,0.2180,0.0000,26.8508
107,1.4338,0.2436,1.2569,16.5373,2.2978,0.9424,0.2573,0.0000,0.0244,0.2300,0.2074,0.0000,23.4311
108,1.6724,0.2658,1.4364,19.2729,2.6226,1.0456,0.2828,0.0000,0.0177,0.2468,0.2172,0.0000,27.0803
